price,sqm,bedrooms,bathrooms,floor,neighborhood
110235,66,1,1,4,Komuna e Parisit
128827,79,1,1,1,Komuna e Parisit
94746,104,2,1,1,Kombinat
170385,135,4,2,1,Ali Demi
178778,126,4,1,4,Don Bosko
58161,63,1,1,2,Fresku
93087,107,3,1,7,Fresku
115612,112,3,1,1,Astir
60202,63,1,1,7,Astir
89392,91,2,1,4,Fresku
166136,93,2,1,3,Komuna e Parisit
85148,80,2,1,4,Astir
114409,112,4,1,10,Fresku
106401,104,2,1,7,Fresku
129026,82,2,1,4,21 Dhjetori
137049,121,3,2,6,Ali Demi
135979,102,4,1,3,Don Bosko
88267,73,1,1,10,Lapraka
128541,102,3,1,9,Ali Demi
65884,70,1,1,3,Fresku
94013,88,2,1,5,Astir
101593,84,2,1,3,Ali Demi
85689,79,1,1,8,Ali Demi
95212,92,3,1,10,Fresku
248906,134,4,1,3,Komuna e Parisit
111065,94,2,1,10,Ali Demi
80886,91,2,1,6,Kombinat
133531,115,4,1,2,Ali Demi
85934,94,2,1,1,Kinostudio
144804,72,2,1,6,Blloku
99595,109,3,1,10,Kombinat
116077,125,4,1,2,Kombinat
122178,141,4,1,2,Fresku
62198,65,1,1,4,Fresku
169081,121,4,2,4,Don Bosko
232437,121,4,1,9,Komuna e Parisit
156016,87,2,1,8,Komuna e Parisit
79646,66,1,1,1,Lapraka
124751,133,4,2,3,Astir
76515,81,1,1,1,Kombinat
